title,subtitle,author,publisher,genre,width,color,bookcase,compartment
Blut an den Händen,,Winowska,Paulusverlag,,21,"[0.015801495666322475, 0.010878521438926958, 0.9733199828947505, 0.0, 0.0, 0.0, 0.0, 0.0]",A,1
Boris und Lena Nikitin,Die Nikitin-Kinder,Marianna Butenschön,k&w,Ratgeber,25,"[0.006065956349587882, 0.901467541889187, 0.0452149743464238, 0.00163448679736734, 0.0, 0.0, 0.04561704061743394, 0.0]",A,1
Der Aufmacher,,Günter Wallraff,k&w,,19,"[0.11541317397411009, 0.8805074207602366, 0.003122176398493483, 0.000957228867159893, 0.0, 0.0, 0.0, 0.0]",A,1
Der Gandolfo-Anschlag,,Robert Ludlum,Heyne,Roman,29,"[0.0393360574009267, 0.15827288901053785, 0.020977927232203954, 0.0, 0.0, 0.0, 0.7797708655105672, 0.0016422608457643355]",A,1
Der Steppenwolf,,Hesse,suhrkamp,Erzählungen,14,"[0.017214415760235285, 0.012137621959759115, 0.0, 0.0, 0.0609098548153681, 0.9045329349703561, 0.005205172494281313, 0.0]",A,1
Der Verehrer,,Charlotte Link,Goldmann,Roman,36,"[0.17639300645273367, 0.6531478505745287, 0.04921495169021393, 0.032569961759038514, 0.08866737220821552, 6.857315269641066e-06, 0.0, 0.0]",A,1
Die Girls von Riad,,Rajaa Alsanea,Goldmann,Roman,24,"[0.0, 0.1017664748172784, 0.8982335251827216, 0.0, 0.0, 0.0, 0.0, 0.0]",A,1
Die Maske im See,,Gabriele Beyerlein,,Erzählungen,21,"[0.11037902063281739, 0.3057137032776621, 3.6402288975930805e-05, 0.005751561658197068, 0.0008954963088078978, 0.137309434017211, 0.43991438181632864, 0.0]",A,1
Die Physiker,,Friedrich Dürrenmatt,Arche,Komödie,10,"[0.04480194184785415, 0.9551205908175386, 0.0, 0.0, 2.5822444869080204e-05, 5.164488973816041e-05, 0.0, 0.0]",A,1
Die Umarmung,,Alexandra Cordes,Heyne,Roman,14,"[0.0, 0.1260893863186672, 0.8739106136813328, 0.0, 0.0, 0.0, 0.0, 0.0]",A,1
Doktor Biene,,Paul Uccusic,Ariston Verlag,Wissen,25,"[0.0015531492000738561, 0.08621607237892497, 0.9122307784210012, 0.0, 0.0, 0.0, 0.0, 0.0]",A,1
Effektive Software-Architekturen,,Gernot Starke,Hanser,IT,13,"[0.0, 0.11762745800546412, 0.8823725419945359, 0.0, 0.0, 0.0, 0.0, 0.0]",A,1
Ein Kuss zu viel,,Gerlis Zillgens,rororo,Jugend,17,"[0.00715259509591198, 0.5985041955490696, 0.05327483246606118, 0.0, 0.0, 0.3408283569192957, 0.00024001996966147582, 0.0]",A,1
Ein vergessener Mord,Der Puma und seine Freunde,Stefan Wolf,Bastei Lübbe,Jugend,24,"[0.0003359240200943641, 0.019056053503534835, 0.9226763982837336, 0.05793162419263716, 0.0, 0.0, 0.0, 0.0]",A,1
Enthüllung,,Michael Crichton,Knaur,Roman,32,"[0.6794735756923526, 0.18995629893739532, 0.13049972089655068, 6.034669174406968e-05, 0.0, 1.0057781957344947e-05, 0.0, 0.0]",A,1
Erbarmen,,Adler Olsen,dtv,Thriller,32,"[0.7376122271390688, 0.19921064678299386, 0.001451684077252688, 0.0591849948654924, 0.0025404471351922037, 0.0, 0.0, 0.0]",A,1
Es begann im Tanger,,Hammond Ines,Bastei Lübbe,Roman,14,"[0.037534476555941956, 0.7985250029979614, 0.1549466362873246, 0.008993884158772034, 0.0, 0.0, 0.0, 0.0]",A,1
Flutwelle,,Uta Danella,Hoffmann und Campe,Roman,54,"[0.01911966314140227, 0.9759229338033686, 0.0021711589306698, 0.0027648232471602038, 0.0, 0.0, 2.142087739913827e-05, 0.0]",A,1
Freyas Töchter,,Dagmar Trodler,Blanvalet,Roman,38,"[0.030655530886914174, 0.378700066660423, 0.09465504608383787, 0.07496818479811808, 2.4791066401494075e-05, 0.2962339615573197, 0.12476241894698568, 0.0]",A,1
Generation X,,Douglas Coupland,Aufbau-Verlag,Roman,23,"[0.09519043219381994, 9.410395921021114e-05, 0.11822879238955618, 0.7864610067412654, 2.56647161482394e-05, 0.0, 0.0, 0.0]",A,1
Grundkurs Programmieren in Java,Mit kostenlosem E-Book,"Ratz, Scheffler, Seese, Wiesenberger",Hanser,IT,43,"[0.06605268861285699, 0.6180297519107391, 0.3158783916107654, 3.9167865638553716e-05, 0.0, 0.0, 0.0, 0.0]",A,1
Human-Computer Interaction,,MacKenzie,Morgan Kaufmann,IT,16,"[0.0, 0.8803594665836216, 0.016861118216903382, 0.0, 0.0, 0.031052930119785122, 0.07172648507968991, 0.0]",A,1
Ich denke oft an dich,Liebesroman,Lena Körber,Flamingo,Roman,16,"[0.008409442531317063, 0.08834905424963817, 0.8238758297150272, 0.07936567350401756, 0.0, 0.0, 0.0, 0.0]",A,1
Julka und der Pferdedieb,,Vladimir Carin,Xenos,Kinder,14,"[0.02162075196158511, 0.10401970248261182, 0.10908145837974308, 0.0, 0.0, 0.752759832677409, 0.01247493873914012, 4.331575951090319e-05]",A,1
Lesevergnügen,,,Langen Müller,Geschichten,19,"[0.021288788636225082, 0.9577699201365604, 0.011680790099372066, 0.009242211790526124, 0.0, 6.096445772114857e-06, 1.2192891544229714e-05, 0.0]",A,1
Ludolf Ursleu,,Ricarda Huch,Fischer,Roman,12,"[0.007798234413828137, 0.8943394154070047, 0.0007001935829317517, 0.09080549720609031, 0.0, 0.006260554388566251, 9.610500157886788e-05, 0.0]",A,1
"Maria, ihm schmeckt´s nicht!",,Jan Weiler,Ullstein,,21,"[0.00017775192295262104, 0.9471188029215952, 0.03838633572490466, 0.0, 0.0, 0.0, 0.014317109430547476, 0.0]",A,1
Meteor,,Dan Brown,Bastei Lübbe,Thriller,39,"[0.10969544004899993, 0.19936849219591526, 0.07168352799543794, 0.0, 0.0, 0.0, 0.6184657950873339, 0.0007867446723129238]",A,1
Night Vision,,Ronald Munson,Wiener Verlag,,44,"[0.1486109963932711, 0.08987362682745519, 0.0, 0.0, 0.0, 0.026461275845929354, 0.7350541009333443, 0.0]",A,1
Schnee an der Riviera,,Rosa Cerrato,Aufbau-Verlag,Krimi,22,"[0.043904020752269776, 0.06248739011384926, 0.8893356391410866, 3.6028246144977665e-05, 0.0, 0.0, 0.0005908632367776337, 0.0036460585098717396]",A,1
Tante Inge haut ab,,Dora Heldt,BB,Roman,27,"[0.007690909655083758, 0.9394036109596571, 0.04813135275786711, 0.0010417082241756098, 0.0, 1.3298402861816296e-05, 0.003719120000354624, 0.0]",A,1
The C Programming Language,Second Edition,"Kernighan, Ritchie",PH PTR,IT,15,"[0.061246796996792516, 0.8431558765029477, 0.03575716307990037, 6.271614671994553e-05, 0.0, 0.0, 0.059777447273639504, 0.0]",A,1
Transeuropalauf 2003,,Ingo Schulze,Engelsdorfer Verlag,Bibliographie,15,"[0.0, 0.22219373133427855, 0.0, 0.0, 0.0, 0.0070741198829527285, 0.7707321487827687, 0.0]",A,1
UbiComp 2007: Ubiquitous Computing,UbiComp 2007,Krumm et al. (Eds.),Springer,IT,31,"[8.037149490980532e-05, 0.5527326308269334, 0.44718699767815684, 0.0, 0.0, 0.0, 0.0, 0.0]",A,1
und besiege die Finsternis,,Marie Balter,Bastei Lübbe,Erfahrungen,19,"[0.037117927773470345, 0.9610693108230592, 0.0, 4.368099767398688e-05, 0.0, 0.0, 0.0017690804057964684, 0.0]",A,1
Vater unser bestes Stück,Ohne Mutter geht es nicht,Hans Nicklisch,Deutscher Bücherbund Stuttgart,,33,"[0.04823981269937826, 0.1284579528494734, 0.025187972583942224, 0.058722423024961626, 0.6087411672337084, 0.13065067160853605, 0.0, 0.0]",A,1
Warten auf Oho,,Robert Rankin,Bastei Lübbe,Roman,22,"[0.018857075457789047, 0.9614086043700056, 0.016299059357768406, 0.0, 0.0, 0.0, 0.0034352608144369414, 0.0]",A,1
Warum Männer nicht zuhören …,,A. & B. Pease,Ullstein,Wissen,25,"[0.06636103369888811, 0.030788399897276886, 0.005402474866127053, 0.0506957588670021, 0.0, 0.005916090434385611, 0.8284333774028173, 0.012402864833502954]",A,1
An einem Tag wie jeder andere,,Joseph Hayes,Fischer,Roman,12,"[0.012658820226033648, 0.8285794510611414, 0.15876172871282496, 0.0, 0.0, 0.0, 0.0, 0.0]",A,2
Android Design Patterns,Interaction Design Solutions for Developers,Nudelman,Wiley,IT,22,"[0.0007902385448895675, 0.942480009643589, 0.05655563145417286, 0.0, 0.0, 7.366630503207833e-05, 8.706017867427439e-05, 1.3393873642196059e-05]",A,2
Champagner für Vier,,Doris Jannausch,Bastei Lübbe,Roman,17,"[0.0015638517335462834, 0.0937146469687895, 0.0, 0.0, 0.0, 0.0004991016170892394, 0.9042223996805749, 0.0]",A,2
Das Paradies ist nebenan,,Cees Nooteboom,suhrkamp,Roman,8,"[0.013838120104438642, 0.3814621409921671, 0.039425587467362924, 0.0, 0.0, 0.0, 0.564177545691906, 0.0010966057441253263]",A,2
Der neue große Freizeitführer für Deutschland,,,Unterwegs Verlag,Ratgeber,19,"[0.04805817568635717, 0.021499710175475577, 0.10960636560046372, 0.817911155609422, 0.0, 0.0, 0.0023581177214522845, 0.0005664752068293197]",A,2
Der Spuk von Billerbeck,,Pestum,Schneider-Buch,Kinder,14,"[0.07965415387022945, 0.8778192914849083, 0.015512216114708242, 0.009056943330529529, 0.0, 0.014749320240214393, 0.003208074959410027, 0.0]",A,2
Der stille Herr Genardy,,Petra Hammesfahr,Wiener Verlag,Roman,33,"[0.7711862252463711, 0.08874446035606247, 0.039046545719539374, 0.09888741070898968, 8.473642734275038e-06, 0.00030505113843390136, 0.0018218331878691331, 0.0]",A,2
Die große Flatter,,Leonie Ossowski,Beltz & Gelberg,Roman,20,"[0.07923956931359354, 0.0004894163709776092, 0.05235225743301113, 0.8679187568824177, 0.0, 0.0, 0.0, 0.0]",A,2
Die Outsider,,Hinton,dtv pocket,Jugend,17,"[0.0, 0.07057843953568105, 0.192911136144716, 0.0, 0.0, 0.00013061011248795937, 0.7359063525493461, 0.00047346165776885273]",A,2
Echt süß!,,"Patti Massmann, Susan Rosser",Goldmann,Roman,26,"[0.01909448818897638, 0.9182152230971129, 0.06267716535433071, 1.3123359580052494e-05, 0.0, 0.0, 0.0, 0.0]",A,2
Es geschah nebenan,,Joyce Egginton,Heyne,Erfahrungen,35,"[0.743941388586801, 0.246534256768359, 0.0019575296205139947, 0.007475244691202565, 1.1447541640432716e-05, 1.1447541640432716e-05, 6.86852498425963e-05, 0.0]",A,2
Es ist zum Verrücktwerden mit Alba,Frauen,Tania Kindersley,Bastei Lübbe,Roman,21,"[0.0046366827846592035, 0.9901304895012254, 0.0, 0.0, 0.001391004835397761, 0.003841822878717626, 0.0, 0.0]",A,2
Familiengeheimnisse,,Marjorie Dorner,Heyne,Roman,24,"[0.029622819213347088, 0.832511100148002, 0.012187738260752567, 0.015820513970489305, 0.0, 0.0023770013903215677, 0.1074808270170875, 0.0]",A,2
Hartmut und ich,,Oliver Uschmann,Fischer,Roman,19,"[0.02527211899414139, 0.9388223098308386, 0.03469615342328051, 0.0, 0.0, 0.00040837482526269496, 0.0008010429264768247, 0.0]",A,2
Hurra wir leben noch,,Simmel,Knaur,Roman,37,"[0.0007489750867234311, 0.9289919058130979, 0.021470619152738356, 0.0, 0.0, 0.016648270787343634, 0.03214022916009671, 0.0]",A,2
Ich hab mein Herz im Wäschekorb verloren,,Erma Bombeck,Lingen,,26,"[0.00017766722927955937, 0.9515745758194901, 0.02635027094252465, 0.0, 0.0, 0.0, 0.021897486008705693, 0.0]",A,2
In letzter Minute,,Harold English,Goldmann,Roman,17,"[0.002425102283225551, 0.991206942061502, 0.006367955655272536, 0.0, 0.0, 0.0, 0.0, 0.0]",A,2
Interaktive Systeme 1,2. Aufl.,"Dreim, Dachselt",Springer,IT,29,"[0.0009128364542471566, 0.3949497939950164, 0.00907902203143118, 0.5812177731724767, 0.0010690877392083816, 0.011167854998807555, 0.0016036316088125725, 0.0]",A,2
Jenseits von Afrika,,Tania Blixen,Heyne,Roman,27,"[0.843598732399271, 0.058852890988658924, 0.08085017470138252, 0.0, 0.0, 6.384435906067535e-05, 0.01663435755162687, 0.0]",A,2
Kein Kind wie alle anderen,,Hayden,dtv,Sachbuch,18,"[0.02792178792644803, 0.9718257897904895, 0.0, 0.0, 0.0, 0.00023300518436535214, 1.9417098697112678e-05, 0.0]",A,2
Lampenschein und Sternenlicht,,Eric Malpass,Rowohlt,Roman,32,"[0.002801826484018265, 0.49973698630136987, 0.001749771689497717, 0.10195068493150684, 0.005669406392694064, 0.0907324200913242, 0.29735890410958904, 0.0]",A,2
Leben auf der Überholspur,,Mel Gilden,Heyne,Geschichten,16,"[0.002142996298460939, 0.2135447106954997, 0.03268069355152932, 0.0010958503798947983, 0.0, 0.7387249172024157, 0.011810831872199494, 0.0]",A,2
Modeling and Simulating Bodies and Garments,,Magnenat-Thalmann Ed.,Springer,IT,19,"[0.33623213498709315, 0.1741878108669647, 1.5740099477428697e-05, 0.0, 0.0, 0.09403922432789776, 0.39552508971856704, 0.0]",A,2
Nirgendwo ist Poenichen,,Christine Brückner,Ullstein,Roman,20,"[0.06244058487121063, 0.9372802583332076, 0.00023388812602797603, 4.5268669553801814e-05, 0.0, 0.0, 0.0, 0.0]",A,2
"Oh, du fröhliche",,Jill Churchill,Econ,Krimi,17,"[0.006407251132989529, 0.027914517893420848, 0.9639396780746992, 0.0007423034849195186, 0.0, 0.0, 0.00021487732458196594, 0.000781372089388967]",A,2
Rätselhafte Vergangenheit,,,Moewig,Wissen,10,"[0.7449317571812004, 0.21726343441265492, 0.03709097138941237, 0.0007138370167323396, 0.0, 0.0, 0.0, 0.0]",A,2
Robot Builder´s Bonanza,Fourth Edition,McComb,Mc Graw Hill,IT,26,"[0.04344540563707522, 0.5504889299933456, 0.274483155318453, 0.13141896845358267, 0.0, 5.639330949776118e-06, 0.0001579012665937313, 0.0]",A,2
Säule des Himmels,,Cecelia Holland,SP,Roman,30,"[0.027142076987346143, 0.010376068296280391, 0.0, 0.0318563500324398, 0.023823415467483185, 0.9068020892164504, 0.0, 0.0]",A,2
Shampoo Planet,,Douglas Coupland,Goldmann,Roman,22,"[0.006551804665403877, 0.8676535457588417, 0.013817172215158671, 0.06995511040763902, 0.002361244453670308, 0.001777420275565012, 0.03788370222372142, 0.0]",A,2
Springflut,,Max von der Grün,Luchterhand,Roman,25,"[0.4319620080819963, 0.49482803065785125, 0.0, 0.0, 5.8091617742632346e-05, 0.07209895907082457, 0.0010529105715852112, 0.0]",A,2
Spuk aus dem …,63,Wolf,Pelikan,Jugend,20,"[0.03246419295944869, 0.17943377304636274, 0.01855280413484533, 0.021124225359356118, 6.428553061276968e-05, 0.0005142842449021574, 0.7474735786469181, 0.0003728560775540641]",A,2
Tatwaffe Computer,,Joachim Soyka,Heyne,Wissen,19,"[0.03818981472268105, 0.10921610380306075, 0.035980815538617685, 0.0, 0.0, 0.0, 0.8151007980258314, 0.0015124679098091505]",A,2
Terra Magna,,John Knittel,Mohndruck,Roman,41,"[0.04745839670151815, 0.45807935202115013, 0.05071000847079042, 0.2534377494550133, 0.0005590233447172294, 0.09213632357931174, 0.09761914642749907, 0.0]",A,2
