title,subtitle,author,publisher,genre,width,filename,bookcase,compartment
Blut an den Händen,,Winowska,Paulusverlag,,21,blut_an_den_haenden,A,1
Boris und Lena Nikitin,Die Nikitin-Kinder,Marianna Butenschön,k&w,Ratgeber,25,boris_und_lena_nikitin,A,1
Der Aufmacher,,Günter Wallraff,k&w,,19,der_aufmacher,A,1
Der Gandolfo-Anschlag,,Robert Ludlum,Heyne,Roman,29,der_gandolfo_anschlag,A,1
Der Steppenwolf,,Hesse,suhrkamp,Erzählungen,14,der_steppenwolf,A,1
Der Verehrer,,Charlotte Link,Goldmann,Roman,36,der_verehrer,A,1
Die Girls von Riad,,Rajaa Alsanea,Goldmann,Roman,24,die_girls_von_riad,A,1
Die Maske im See,,Gabriele Beyerlein,,Erzählungen,21,die_maske_im_see,A,1
Die Physiker,,Friedrich Dürrenmatt,Arche,Komödie,10,die_physiker,A,1
Die Umarmung,,Alexandra Cordes,Heyne,Roman,14,die_umarmung,A,1
Doktor Biene,,Paul Uccusic,Ariston Verlag,Wissen,25,doktor_biene,A,1
Effektive Software-Architekturen,,Gernot Starke,Hanser,IT,13,effektive_software_architekturen,A,1
Ein Kuss zu viel,,Gerlis Zillgens,rororo,Jugend,17,ein_kuss_zu_viel,A,1
Ein vergessener Mord,Der Puma und seine Freunde,Stefan Wolf,Bastei Lübbe,Jugend,24,ein_vergessener_mord,A,1
Enthüllung,,Michael Crichton,Knaur,Roman,32,enthuellung,A,1
Erbarmen,,Adler Olsen,dtv,Thriller,32,erbarmen,A,1
Es begann im Tanger,,Hammond Ines,Bastei Lübbe,Roman,14,es_begann_im_tanger,A,1
Flutwelle,,Uta Danella,Hoffmann und Campe,Roman,54,flutwelle,A,1
Freyas Töchter,,Dagmar Trodler,Blanvalet,Roman,38,freyas_toechter,A,1
Generation X,,Douglas Coupland,Aufbau-Verlag,Roman,23,generation_x,A,1
"Grundkurs Programmieren in Java,Mit kostenlosem E-Book,""Ratz, Scheffler, Seese, Wiesenberger"",Hanser,IT,43,grundkurs_programmieren_in_java,A,1"
Human-Computer Interaction,,MacKenzie,Morgan Kaufmann,IT,16,human_computer_interaction,A,1
Ich denke oft an dich,Liebesroman,Lena Körber,Flamingo,Roman,16,ich_denke_oft_an_dich,A,1
Julka und der Pferdedieb,,Vladimir Carin,Xenos,Kinder,14,julka_und_der_pferdedieb,A,1
Lesevergnügen,,,Langen Müller,Geschichten,19,lesevergnuegen,A,1
Ludolf Ursleu,,Ricarda Huch,Fischer,Roman,12,ludolf_ursleu,A,1
